post_date,avg_sentiment,variance,total_posts,pos,neg,neu
2025-01-28 00:00:00+00:00,0.08888888888888889,0.04111111111111111,8,2,0,7
2025-01-29 00:00:00+00:00,-0.008333333333333333,0.005144927536231885,23,1,1,22
2025-01-30 00:00:00+00:00,0.0,0.09,8,1,1,7
2025-01-31 00:00:00+00:00,0.06666666666666667,0.01696969696969697,12,1,1,10
2025-02-01 00:00:00+00:00,0.02,0.01288888888888889,10,1,1,8
2025-02-02 00:00:00+00:00,0.049999999999999996,0.06571428571428573,8,2,2,4
2025-02-03 00:00:00+00:00,-0.08,0.03957894736842105,20,1,4,15
2025-02-04 00:00:00+00:00,0.07692307692307693,0.08358974358974358,13,2,1,10
2025-02-05 00:00:00+00:00,0.09473684210526316,0.02385964912280701,19,5,0,14
2025-02-06 00:00:00+00:00,0.05,0.010000000000000002,4,1,0,3
2025-02-07 00:00:00+00:00,0.08,0.03200000000000001,5,3,0,2
2025-02-08 00:00:00+00:00,0.2,0.0,2,2,0,0
2025-02-09 00:00:00+00:00,0.0,0.0,1,0,0,1
2025-02-10 00:00:00+00:00,0.13333333333333333,0.013333333333333336,3,2,0,1
2025-02-11 00:00:00+00:00,0.14285714285714285,0.04952380952380952,7,2,0,5
2025-02-12 00:00:00+00:00,0.07500000000000001,0.010714285714285716,8,2,0,6
2025-02-13 00:00:00+00:00,0.35,0.09000000000000001,4,3,0,1
2025-02-14 00:00:00+00:00,0.16,0.06800000000000002,5,2,0,3
2025-02-15 00:00:00+00:00,0.2,0.08,4,2,0,2
2025-02-16 00:00:00+00:00,0.0,0.0,0,0,0,0
2025-02-17 00:00:00+00:00,0.028571428571428574,0.005714285714285716,7,1,0,6
2025-02-18 00:00:00+00:00,0.0,0.0,2,0,0,2
2025-02-19 00:00:00+00:00,0.3333333333333333,0.05333333333333334,3,3,0,0
2025-02-20 00:00:00+00:00,0.15,0.08999999999999998,4,1,0,3
2025-02-21 00:00:00+00:00,0.075,0.045000000000000005,8,1,0,7
2025-02-22 00:00:00+00:00,-0.09999999999999999,0.12000000000000001,4,1,0,3
2025-02-23 00:00:00+00:00,0.0,0.0,0,0,0,0
2025-02-24 00:00:00+00:00,0.3,0.18,2,1,0,1
2025-02-25 00:00:00+00:00,0.19999999999999998,0.048,6,4,0,2
2025-02-26 00:00:00+00:00,0.43333333333333335,0.07066666666666668,6,3,0,3
2025-02-27 00:00:00+00:00,0.05,0.010000000000000002,4,0,0,4
2025-02-28 00:00:00+00:00,-0.04,0.008,5,0,0,5
2025-03-01 00:00:00+00:00,0.09090909090909091,0.010909090909090912,11,3,0,8
2025-03-02 00:00:00+00:00,0.0,0.0,3,0,0,3
2025-03-03 00:00:00+00:00,0.06666666666666667,0.013333333333333336,3,1,0,2
2025-03-04 00:00:00+00:00,-0.075,0.05642857142857143,8,1,1,6
2025-03-05 00:00:00+00:00,0.1,0.03777777777777778,10,2,0,8
2025-03-06 00:00:00+00:00,0.10000000000000002,0.012,6,3,0,3
2025-03-07 00:00:00+00:00,0.13333333333333333,0.039999999999999994,9,3,0,6
2025-03-08 00:00:00+00:00,0.13333333333333333,0.058666666666666666,6,1,0,5
