timestamp,tx_frequency,tx_amount,tx_amount_usd,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,ETH_trade_count,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,BTC_trade_count,message_count,avg_views,total_forwards,total_reactions,avg_sentiment,avg_positive,avg_negative,avg_neutral,ETH_price_change_pct,BTC_price_change_pct,ETH_volume_change_pct,BTC_volume_change_pct,tx_frequency_change_pct,tx_amount_change_pct,message_count_change_pct,avg_views_change_pct,total_reactions_change_pct,ETH_price_ma24,tx_frequency_ma24,message_count_ma24,ETH_price_std24,tx_frequency_std24,message_count_std24,ETH_price_zscore,tx_frequency_zscore,message_count_zscore,hour,day_of_week,day,month,ETH_bb_upper,ETH_bb_lower
2025-01-01 00:00:00,4,1143.54979,0.0,3337.78,3365.71,3335.84,3363.7,8894.4444,54290,93576.0,94509.42,93489.03,94401.14,755.9901,93525,2.0,5813.0,40.0,94.0,0.23879999999999998,0.242,0.078,0.6799999999999999,,,,,,,,,,3363.7,4.0,2.0,,,,,,,0,2,1,1,,
2025-01-01 01:00:00,6,5836.612338,0.0,3363.69,3366.4,3342.67,3346.54,6138.1376,46722,94401.13,94408.72,93578.77,93607.74,586.53456,79943,3.0,17291.0,205.0,300.0,-0.003049999999999997,0.025,0.0365,0.9385,-0.5101525106281701,-0.840455952120911,-30.989083477771818,-22.415047498637875,50.0,410.39424684779135,50.0,197.45398245312234,219.14893617021275,3355.12,5.0,2.5,12.133952365161052,1.4142135623730951,0.7071067811865476,-0.70710678118072,0.7071067811365475,0.7071067810865475,1,2,1,1,3379.387904730322,3330.8520952696776
2025-01-01 02:00:00,6,694.2012418,0.0,3346.54,3368.42,3346.35,3362.61,8775.81,44926,93607.74,94105.12,93594.56,94098.91,276.78045,55078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48019745767271527,0.5247108839504078,42.97186820966672,-52.810888074523696,0.0,-88.10609302796564,-100.0,-100.0,-100.0,3357.616666666667,5.333333333333333,1.6666666666666667,9.608144114933575,1.1547005383792517,1.5275252316519465,0.5196980055201733,0.577350269139626,-1.0910894511085334,2,2,1,1,3376.832954896534,3338.4003784367997
2025-01-01 03:00:00,5,79.74,0.0,3362.61,3363.72,3351.0,3355.2,4025.4646,22334,94098.9,94098.91,93728.22,93838.04,220.99302,35001,1.0,11932.0,24.0,93.0,-0.34,0.0,0.103,0.897,-0.22036453826046465,-0.2772295662085922,-54.12999369858736,-20.155841931754924,-16.666666666666664,-88.51341726309197,,,,3357.0125,5.25,1.5,7.937528477639188,0.9574271077563381,1.2909944487358054,-0.22834563744661318,-0.261116483906274,-0.38729833459074176,3,2,1,1,3372.8875569552783,3341.1374430447213
2025-01-01 04:00:00,5,4337.0581,0.0,3355.2,3356.61,3339.45,3341.14,4626.6506,22341,93838.04,93838.04,93500.0,93553.91,279.46909,38597,2.0,6417.5,49.0,107.0,0.48865,0.198,0.0,0.802,-0.41905102527419746,-0.3027876541325747,14.934574260074228,26.460595904793728,0.0,5338.999372962127,100.0,-46.21605766007375,15.053763440860223,3353.8379999999997,5.2,1.6,9.881321773932834,0.8366600265340756,1.1401754250991378,-1.2850507543807541,-0.2390457218383075,0.3508232076920424,4,2,1,1,3373.6006435478653,3334.075356452134
2025-01-01 05:00:00,3,489.0897403,0.0,3341.14,3351.57,3340.02,3345.41,3247.0621,21388,93553.91,93937.19,93547.4,93792.02,209.1794,33839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12780069078219825,0.2545163531914474,-29.818298792651422,-25.151149989431755,-40.0,-88.7230069548757,-100.0,-100.0,-100.0,3352.433333333333,4.833333333333333,1.3333333333333333,9.484247290463559,1.1690451944500122,1.2110601416389966,-0.7405261712567339,-1.568231358274406,-1.1009637650354516,5,2,1,1,3371.40182791426,3333.4648387524057
2025-01-01 06:00:00,1,0.0,0.0,3345.41,3348.0,3336.88,3346.6,6325.1491,25641,93792.02,93792.02,93568.38,93757.58,272.27846,30066,2.0,12810.0,52.0,91.0,0.11315,0.0555,0.0405,0.904,0.0355711258111846,-0.036719541811769396,94.79606195397369,30.16504493272283,-66.66666666666667,-100.0,,,,3351.6,4.285714285714286,1.4285714285714286,8.934216996096051,1.799470821684875,1.1338934190276817,-0.5596461337494786,-1.8259336277846518,0.5039526306345251,6,2,1,1,3369.468433992192,3333.731566007808
2025-01-01 07:00:00,5,432.1302659,0.0,3346.61,3350.49,3339.35,3347.12,5869.4211,19809,93757.57,93800.0,93664.08,93684.1,197.93458,22891,1.0,15042.0,77.0,123.0,0.2023,0.121,0.069,0.809,0.01553815813064574,-0.07837233000254074,-7.205015926027736,-27.304355989085582,400.0,,-50.0,17.42388758782201,35.164835164835175,3351.04,4.375,1.375,8.4217660177151,1.6850180160122072,1.0606601717798212,-0.46546056868688185,0.37091591545237257,-0.35355339055994045,7,2,1,1,3367.88353203543,3334.19646796457
2025-01-01 08:00:00,3,431.0,0.0,3347.11,3348.84,3331.56,3337.01,8469.9751,46052,93684.11,93756.02,93304.0,93428.46,481.71173,51464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30205071822939633,-0.27287447923393104,44.306822695001394,143.3691626799117,-40.0,-0.26155675480077356,-100.0,-100.0,-100.0,3349.4811111111107,4.222222222222222,1.2222222222222223,9.161418346037214,1.6414763002993509,1.092906420717,-1.3612642322319888,-0.7445871877192931,-1.118322849003442,8,2,1,1,3367.803947803185,3331.1582744190364
2025-01-01 09:00:00,4,0.050101131,0.0,3337.78,3374.85,3313.88,3360.38,190238.5861,1182219,93576.0,95151.15,92888.0,94591.79,10373.32613,1516556,2.0,13305.5,48.0,77.0,0.33525,0.126,0.0385,0.8355,0.7003275387247765,1.2451559192991013,2146.0347740573643,2053.4302538159077,33.33333333333333,-99.98837560765661,,,,3350.571,4.2,1.3,9.299700652290886,1.5491933384829668,1.0593499054713802,1.0547651334861379,-0.12909944486524733,0.6607826142415539,9,2,1,1,3369.170401304582,3331.971598695418
