timestamp,channel,message_id,views,forwards,reactions,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,message_length
2025-11-17 08:08:23+00:00,@cryptosignals,6184,2600,11,6,0.0,0.0,0.0,1.0,31
2025-11-17 08:05:56+00:00,@cryptosignals,6183,2559,11,11,0.8934,0.246,0.0,0.754,243
2025-11-17 07:59:41+00:00,@cryptosignals,6181,2481,10,5,0.0,0.0,0.0,1.0,30
2025-11-17 07:57:46+00:00,@cryptosignals,6180,2444,11,7,0.0,0.0,0.0,1.0,30
2025-11-17 07:54:25+00:00,@cryptosignals,6179,2417,12,15,-0.3968,0.0,0.17,0.83,127
2025-11-17 07:52:01+00:00,@cryptosignals,6178,2372,5,8,0.0,0.0,0.0,1.0,33
2025-11-17 07:49:09+00:00,@cryptosignals,6177,2443,7,8,0.0,0.0,0.0,1.0,31
2025-11-17 07:46:48+00:00,@cryptosignals,6176,2361,8,7,0.0,0.0,0.0,1.0,32
2025-11-17 07:44:43+00:00,@cryptosignals,6175,2391,10,10,0.0,0.0,0.0,1.0,30
2025-11-17 07:42:45+00:00,@cryptosignals,6174,2286,10,7,0.0,0.0,0.0,1.0,30
2025-11-17 07:40:01+00:00,@cryptosignals,6173,2589,11,15,0.0,0.0,0.0,1.0,30
2025-11-17 07:35:42+00:00,@cryptosignals,6172,2859,11,19,-0.7814,0.047,0.125,0.827,360
2025-11-16 04:10:48+00:00,@cryptosignals,6171,3168,11,41,-0.8481,0.0,0.434,0.566,84
2025-11-15 08:45:15+00:00,@cryptosignals,6170,3246,11,41,-0.2732,0.0,0.104,0.896,116
2025-11-15 08:35:23+00:00,@cryptosignals,6169,3152,14,42,0.0857,0.077,0.067,0.855,194
2025-11-15 08:32:15+00:00,@cryptosignals,6168,3131,10,26,0.0,0.0,0.0,1.0,101
2025-11-15 08:25:46+00:00,@cryptosignals,6167,2953,3,18,0.1531,0.144,0.112,0.745,99
2025-11-14 18:30:34+00:00,@cryptosignals,6166,2778,1,7,0.0,0.0,0.0,1.0,24
2025-11-14 18:30:33+00:00,@cryptosignals,6165,2729,4,5,0.0,0.0,0.0,1.0,164
2025-11-14 14:23:42+00:00,@cryptosignals,6164,3361,17,46,0.4404,0.081,0.0,0.919,208
2025-11-14 08:13:08+00:00,@cryptosignals,6163,3311,3,88,0.0,0.0,0.0,1.0,20
2025-11-13 02:51:13+00:00,@cryptosignals,6162,10395,7,0,0.0,0.0,0.0,1.0,0
2025-11-12 16:56:50+00:00,@cryptosignals,6161,4046,2,32,0.4215,0.483,0.0,0.517,17
2025-11-12 14:36:48+00:00,@cryptosignals,6160,4500,4,17,0.4019,0.13,0.0,0.87,102
2025-11-11 17:49:57+00:00,@cryptosignals,6159,4798,6,25,0.4019,0.13,0.0,0.87,112
2025-11-11 17:40:04+00:00,@cryptosignals,6158,4757,10,23,0.4019,0.119,0.0,0.881,127
