lag_hours,correlation,p_value
-24,-0.005167127889140499,0.644699252276556
-23,0.016139582691128886,0.14971300694949524
-22,-0.02235496714466557,0.045983190038997764
-21,-0.0032796221471119245,0.7697188595518089
-20,0.009222039298763307,0.41037365186707747
-19,0.011422165866465578,0.30786436002382406
-18,0.01093613700334943,0.32887525664471795
-17,-0.011955057349727736,0.28578014389122214
-16,0.024200745905576384,0.030681944346368475
-15,0.0009532510710710667,0.9321659458489133
-14,0.006081838157080981,0.5870516507242891
-13,0.003069548410602319,0.7839857364953846
-12,0.005487446024120639,0.6240671198047958
-11,-0.007423923427341441,0.5072725271795324
-10,0.008712037057237899,0.4364539117827976
-9,-0.004218814776261713,0.7062775281643333
-8,0.027382750096314,0.01441869443077176
-7,-0.017921474374167797,0.10932831031154895
-6,-0.00034573215340368284,0.9753577561925973
-5,-0.0014036473653463203,0.9001937764759054
-4,0.011658468774077451,0.2975091061591268
-3,-0.008512212784467316,0.44684885306008015
-2,0.009118139694018357,0.4151411544949609
-1,-0.0030120034555678357,0.7877820613307092
0,0.010908773215047936,0.3295415079332318
1,-0.012236175343643142,0.27409059917659967
2,0.017754005764256158,0.11252400173933451
3,0.004708638200166543,0.673862482636097
4,-0.004817959992228755,0.6667417160434413
5,-0.008183029088850274,0.4645358630301832
6,-0.01180717524307054,0.2912683342860028
7,-0.012759448300908707,0.2540923718325044
8,0.0006052181054065689,0.9568607216018101
9,0.01178149440365086,0.2923190987041088
10,-0.0055676588773062065,0.6187431983610412
11,0.0014042536226222724,0.9001197956002089
12,0.00019372231309352318,0.9861856443635452
13,-0.005322688651683138,0.6342618905409337
14,0.001513579099433792,0.8923894146815887
15,-0.01080589773863511,0.334123176022928
16,-0.01160893741089407,0.299445457385535
17,0.00238500329991319,0.8311958459528025
18,-0.005124134839461173,0.6469596067000484
19,0.00845293064317652,0.44993524360586157
20,-0.0002617464003777719,0.9813356103118924
21,-0.022369553935783878,0.045542897777646946
22,-0.011232267027890786,0.3154008707897206
23,-0.012214199374584374,0.27495336507804763
24,-0.0007178265843807285,0.948844255262152
