lag_hours,correlation,p_value
-24,-0.018639269672556608,0.09619471635671423
-23,-0.03277529180377521,0.0034338475691713007
-22,-0.009745179313562204,0.38439381258251976
-21,-0.009428389471647692,0.4000092026722564
-20,0.0023271245815323508,0.8354363223873227
-19,0.019456908681497846,0.08236552046110755
-18,-0.018962154959499038,0.09044614618512471
-17,0.01580445847419192,0.1581969527113856
-16,0.0034963154692079145,0.7549014763489211
-15,-0.0059648025414157065,0.5942907414301968
-14,-0.00031839871186623985,0.977316785861399
-13,-0.009562064024173474,0.39312387720494624
-12,0.0004339610154076056,0.9690836464332382
-11,0.012536226787827997,0.2628244435748123
-10,-0.02564271530262847,0.021972275265129886
-9,-0.012274957647565352,0.27284283307030704
-8,-0.006744562358280872,0.5468259333195661
-7,-0.008647697215268537,0.4397631986365689
-6,-0.011577194349102024,0.3009505073541585
-5,-0.025756514936670864,0.021349974304847717
-4,-0.00306899127941078,0.7839051690083736
-3,-0.02169226979535748,0.05253975792226312
-2,-0.0203271991653201,0.06925188244461475
-1,-0.003861316384898111,0.7300206967480521
0,-0.01262508415717192,0.25912785073383543
1,0.005163663441680866,0.6444233521257275
2,-0.01921516061495638,0.08587342476542534
3,-0.014118167623247895,0.20697676535884704
4,-0.00697872731576593,0.5327884047766492
5,-0.016215598078181508,0.14722042522135667
6,-0.0016193135844739738,0.8849226568526765
7,-0.0026839413950998947,0.810417980038864
8,-0.018659597536418063,0.09533352629314326
9,-0.0019032865088950426,0.8649213688500502
10,-0.010302378489506651,0.35713676951334866
11,-0.015846412308627413,0.15665372793819254
12,-0.009809180491288353,0.3806224216712393
13,-0.005747897887931555,0.6074322349515063
14,-0.010051654280290775,0.36895977921023015
15,0.0021557764011576283,0.8472095179167537
16,-0.0025612395533122904,0.8189311794305086
17,-0.009354370846052501,0.4031002934057792
18,-0.003097425685030398,0.7819001672284738
19,-0.01633236916180529,0.14432895740485063
20,-0.0036282617582570295,0.7457189961979716
21,0.011987508665137103,0.2839613220437674
22,-0.011575097220243757,0.300856486950922
23,0.002989092998796315,0.7893452228306358
24,-0.017664662633882854,0.11434462863732633
