timestamp,channel,message_id,views,forwards,reactions,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,message_length
2025-11-29 16:00:07+00:00,@bitcoin,17893,6330,46,121,0.0,0.0,0.0,1.0,0
2025-11-29 15:59:31+00:00,@bitcoin,17892,6224,25,54,0.6124,0.2,0.0,0.8,307
2025-11-29 12:47:50+00:00,@bitcoin,17891,8324,89,131,0.2023,0.073,0.057,0.87,291
2025-11-28 21:07:01+00:00,@bitcoin,17890,9950,104,160,0.0,0.0,0.0,1.0,87
2025-11-28 19:45:24+00:00,@bitcoin,17889,9156,77,114,-0.0772,0.095,0.111,0.794,91
2025-11-28 18:00:01+00:00,@bitcoin,17888,9265,101,165,0.0,0.0,0.0,1.0,95
2025-11-28 16:00:07+00:00,@bitcoin,17887,8777,47,110,0.0,0.0,0.0,1.0,0
2025-11-28 12:56:49+00:00,@bitcoin,17886,9164,70,121,0.0,0.0,0.0,1.0,103
2025-11-28 12:33:31+00:00,@bitcoin,17885,8670,34,34,-0.2244,0.0,0.174,0.826,89
2025-11-27 19:45:31+00:00,@bitcoin,17884,9849,61,132,0.0,0.0,0.0,1.0,175
2025-11-27 19:11:13+00:00,@bitcoin,17883,9258,36,68,-0.5719,0.0,0.148,0.852,283
2025-11-27 18:34:47+00:00,@bitcoin,17882,8865,65,76,-0.5994,0.0,0.117,0.883,236
2025-11-27 17:11:09+00:00,@bitcoin,17881,8439,55,190,-0.0951,0.0,0.039,0.961,182
2025-11-27 16:00:09+00:00,@bitcoin,17880,8688,51,114,0.0,0.0,0.0,1.0,0
2025-11-27 15:28:10+00:00,@bitcoin,17879,8781,67,91,0.4215,0.142,0.0,0.858,155
2025-11-27 13:39:02+00:00,@bitcoin,17878,9177,67,127,0.4767,0.1,0.0,0.9,236
2025-11-27 12:21:24+00:00,@bitcoin,17877,9329,73,133,0.0,0.0,0.0,1.0,105
2025-11-27 01:10:30+00:00,@bitcoin,17876,9939,78,94,0.0,0.0,0.0,1.0,107
2025-11-26 23:45:17+00:00,@bitcoin,17875,9601,59,77,0.743,0.177,0.0,0.823,209
2025-11-26 22:31:30+00:00,@bitcoin,17874,8700,79,105,0.2263,0.054,0.0,0.946,192
2025-11-26 21:08:01+00:00,@bitcoin,17873,8944,88,173,0.7804,0.196,0.058,0.745,224
2025-11-26 19:45:22+00:00,@bitcoin,17872,8412,78,99,0.0,0.0,0.0,1.0,82
2025-11-26 18:58:23+00:00,@bitcoin,17871,8290,45,62,0.0,0.0,0.0,1.0,355
2025-11-26 18:31:08+00:00,@bitcoin,17870,8379,57,83,0.2263,0.128,0.0,0.872,81
2025-11-26 17:11:09+00:00,@bitcoin,17869,10045,76,105,-0.0258,0.097,0.101,0.802,111
2025-11-26 16:00:08+00:00,@bitcoin,17867,9246,46,87,0.0,0.0,0.0,1.0,0
2025-11-26 13:58:22+00:00,@bitcoin,17866,10166,53,309,0.4926,0.158,0.0,0.842,92
2025-11-26 12:43:44+00:00,@bitcoin,17865,11672,113,203,0.0,0.0,0.0,1.0,61
