word,positive,negative,neutral,total_count
since,101.0,22.0,152.0,275.0
yes,50.0,11.0,211.0,272.0
2025,75.0,15.0,180.0,270.0
financial,107.0,16.0,140.0,263.0
global,91.0,19.0,152.0,262.0
high,103.0,10.0,148.0,261.0
100,137.0,5.0,119.0,261.0
token,112.0,13.0,135.0,260.0
open,99.0,10.0,150.0,259.0
via,92.0,11.0,156.0,259.0
stablecoin,119.0,11.0,129.0,259.0
did,57.0,10.0,189.0,256.0
never,78.0,21.0,155.0,254.0
through,90.0,15.0,146.0,251.0
network,94.0,10.0,147.0,251.0
without,76.0,14.0,159.0,249.0
does,80.0,14.0,155.0,249.0
off,78.0,7.0,163.0,248.0
both,94.0,12.0,142.0,248.0
before,73.0,15.0,159.0,247.0
ever,64.0,15.0,166.0,245.0
always,61.0,10.0,172.0,243.0
too,65.0,10.0,166.0,241.0
growth,88.0,9.0,143.0,240.0
few,81.0,13.0,145.0,239.0
look,74.0,12.0,151.0,237.0
well,63.0,9.0,164.0,236.0
asset,76.0,16.0,143.0,235.0
let,88.0,11.0,133.0,232.0
actually,74.0,12.0,145.0,231.0
lot,78.0,13.0,137.0,228.0
come,71.0,10.0,145.0,226.0
20,126.0,7.0,93.0,226.0
protocol,77.0,7.0,141.0,225.0
built,88.0,9.0,127.0,224.0
co,124.0,3.0,96.0,223.0
really,81.0,19.0,123.0,223.0
doesn,77.0,15.0,130.0,222.0
watch,57.0,16.0,148.0,221.0
company,59.0,16.0,142.0,217.0
cycle,54.0,14.0,149.0,217.0
got,74.0,10.0,132.0,216.0
across,95.0,10.0,111.0,216.0
excited,74.0,3.0,137.0,214.0
thing,62.0,10.0,141.0,213.0
base,76.0,4.0,133.0,213.0
something,66.0,14.0,132.0,212.0
000,82.0,15.0,114.0,211.0
support,173.0,0.0,37.0,210.0
everything,61.0,19.0,130.0,210.0
volume,93.0,5.0,112.0,210.0
system,55.0,16.0,138.0,209.0
solana,80.0,4.0,125.0,209.0
nan,0.0,0.0,209.0,209.0
months,73.0,17.0,115.0,205.0
digital,83.0,10.0,112.0,205.0
coinbase,69.0,7.0,127.0,203.0
coming,69.0,9.0,123.0,201.0
ve,51.0,6.0,143.0,200.0
companies,85.0,11.0,103.0,199.0
already,76.0,3.0,119.0,198.0
end,64.0,7.0,126.0,197.0
investors,70.0,11.0,116.0,197.0
buy,71.0,11.0,114.0,196.0
days,77.0,10.0,107.0,194.0
say,65.0,15.0,114.0,194.0
around,64.0,9.0,121.0,194.0
part,74.0,8.0,111.0,193.0
post,64.0,7.0,121.0,192.0
product,75.0,10.0,106.0,191.0
isn,54.0,19.0,116.0,189.0
finance,61.0,4.0,124.0,189.0
link,77.0,2.0,109.0,188.0
below,58.0,9.0,121.0,188.0
industry,69.0,13.0,106.0,188.0
scale,70.0,6.0,112.0,188.0
may,73.0,13.0,102.0,188.0
early,58.0,9.0,121.0,188.0
tokens,62.0,15.0,109.0,186.0
point,70.0,10.0,105.0,185.0
term,59.0,11.0,115.0,185.0
yet,62.0,10.0,112.0,184.0
keep,80.0,9.0,95.0,184.0
made,65.0,9.0,109.0,183.0
hard,77.0,8.0,97.0,182.0
love,51.0,5.0,125.0,181.0
based,62.0,5.0,113.0,180.0
bad,0.0,76.0,104.0,180.0
run,73.0,4.0,103.0,180.0
two,55.0,4.0,120.0,179.0
model,68.0,10.0,99.0,177.0
free,68.0,11.0,97.0,176.0
public,76.0,0.0,100.0,176.0
app,66.0,7.0,103.0,176.0
am,54.0,8.0,113.0,175.0
help,58.0,3.0,114.0,175.0
using,51.0,12.0,111.0,174.0
launch,68.0,9.0,97.0,174.0
gold,34.0,10.0,130.0,174.0
adoption,55.0,12.0,106.0,173.0
move,49.0,10.0,113.0,172.0
privacy,76.0,4.0,91.0,171.0
level,63.0,8.0,100.0,171.0
30,67.0,12.0,92.0,171.0
rewards,113.0,2.0,55.0,170.0
another,56.0,8.0,106.0,170.0
believe,72.0,10.0,88.0,170.0
business,57.0,5.0,108.0,170.0
different,47.0,11.0,111.0,169.0
binance,24.0,12.0,132.0,168.0
ago,59.0,9.0,100.0,168.0
usdt,130.0,0.0,37.0,167.0
supply,129.0,0.0,37.0,166.0
latest,66.0,6.0,94.0,166.0
under,68.0,12.0,85.0,165.0
share,53.0,9.0,103.0,165.0
news,50.0,10.0,102.0,162.0
vs,46.0,4.0,112.0,162.0
less,40.0,9.0,111.0,160.0
making,45.0,6.0,109.0,160.0
50,62.0,12.0,86.0,160.0
2024,61.0,8.0,90.0,159.0
pay,62.0,8.0,88.0,158.0
start,53.0,3.0,102.0,158.0
ltc,41.0,6.0,111.0,158.0
trump,50.0,6.0,102.0,158.0
working,64.0,9.0,85.0,158.0
higher,55.0,11.0,91.0,157.0
yield,44.0,12.0,101.0,157.0
power,59.0,3.0,94.0,156.0
revenue,50.0,7.0,98.0,155.0
understand,52.0,3.0,100.0,155.0
government,43.0,22.0,89.0,154.0
give,70.0,11.0,72.0,153.0
means,45.0,6.0,102.0,153.0
transactions,52.0,10.0,91.0,153.0
