post_date,avg_sentiment,variance,total_posts,pos,neg,neu
2024-11-15 12:00:00+00:00,0.19999999999999998,0.12,3,1,0,2
2024-11-15 16:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-15 20:00:00+00:00,0.2,0.0,1,1,0,0
2024-11-16 00:00:00+00:00,0.15,0.07714285714285714,8,2,0,6
2024-11-16 04:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-16 08:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-16 12:00:00+00:00,0.0,0.0,1,0,0,1
2024-11-16 16:00:00+00:00,0.0,0.0,1,0,0,1
2024-11-16 20:00:00+00:00,0.2,0.08,4,2,0,2
2024-11-17 00:00:00+00:00,-0.08,0.012000000000000002,5,0,0,5
2024-11-17 04:00:00+00:00,0.6,0.0,2,2,0,0
2024-11-17 08:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-17 12:00:00+00:00,0.0,0.0,3,0,0,3
2024-11-17 16:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-17 20:00:00+00:00,0.0,0.0,2,0,0,2
2024-11-18 00:00:00+00:00,0.0,0.0,2,0,0,2
2024-11-18 04:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-18 08:00:00+00:00,0.0,0.0,1,0,0,1
2024-11-18 12:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-18 16:00:00+00:00,0.0,0.0,1,0,0,1
2024-11-18 20:00:00+00:00,0.0,0.0,1,0,0,1
2024-11-19 00:00:00+00:00,0.0,0.0,4,0,0,6
2024-11-19 04:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-19 08:00:00+00:00,0.1,0.013333333333333336,4,2,0,2
2024-11-19 12:00:00+00:00,0.05,0.008571428571428572,8,2,0,6
2024-11-19 16:00:00+00:00,0.0,0.0,3,0,0,3
2024-11-19 20:00:00+00:00,0.2,0.0,2,2,0,0
2024-11-20 00:00:00+00:00,0.1,0.020000000000000004,2,1,0,1
2024-11-20 04:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-20 08:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-20 12:00:00+00:00,0.0,0.0,1,0,0,1
2024-11-20 16:00:00+00:00,0.0,0.016000000000000004,11,4,0,7
2024-11-20 20:00:00+00:00,0.0,0.0,2,0,0,2
2024-11-21 00:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-21 04:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-21 08:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-21 12:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-21 16:00:00+00:00,-0.08,0.012000000000000002,4,0,2,3
2024-11-21 20:00:00+00:00,0.1,0.013333333333333336,4,2,0,2
2024-11-22 00:00:00+00:00,0.0,0.0,0,0,0,0
2024-11-22 04:00:00+00:00,0.0,0.0,0,0,0,0
