timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-01-10 17:00:00,10,CRITICAL,텔레그램 메시지 급증 (z=2.07); 고래 거래 급증 (z=3.03); ⚠️ 텔레그램+고래 동시 급증,5.0,10.0,0.0,-0.2267888888888889,0.0
2025-10-05 04:00:00,9,HIGH,고래 거래 급증 (z=2.40); 트위터 인플루언서 활동 급증 (z=4.54); ⚠️ 트위터+고래 동시 급증,2.0,52.0,32352.0,0.0,0.05
2025-09-29 11:00:00,9,HIGH,고래 거래 급증 (z=2.79); 트위터 인플루언서 활동 급증 (z=3.12); ⚠️ 트위터+고래 동시 급증,2.0,47.0,9535.0,0.45835,0.03333333333333333
2025-07-10 11:00:00,9,HIGH,고래 거래 급증 (z=2.21); 트위터 인플루언서 활동 급증 (z=3.44); ⚠️ 트위터+고래 동시 급증,2.0,14.0,1392.0,-0.23405,0.0
2025-05-18 22:00:00,9,HIGH,고래 거래 급증 (z=2.35); 트위터 인플루언서 활동 급증 (z=4.69); ⚠️ 트위터+고래 동시 급증,0.0,10.0,11738.0,0.0,0.6
2025-04-18 10:00:00,9,HIGH,고래 거래 급증 (z=4.66); 트위터 인플루언서 활동 급증 (z=4.68); ⚠️ 트위터+고래 동시 급증,2.0,105.0,18677.0,0.0,0.0
2025-04-04 13:00:00,9,HIGH,고래 거래 급증 (z=3.15); 트위터 인플루언서 활동 급증 (z=4.69); ⚠️ 트위터+고래 동시 급증,3.0,99.0,1382.0,-0.4135333333333333,0.0
2025-04-03 21:00:00,9,HIGH,고래 거래 급증 (z=4.56); 트위터 인플루언서 활동 급증 (z=4.49); ⚠️ 트위터+고래 동시 급증,2.0,104.0,31.0,-0.1094,0.0
2025-01-26 14:00:00,9,HIGH,고래 거래 급증 (z=4.13); 트위터 인플루언서 활동 급증 (z=4.69); ⚠️ 트위터+고래 동시 급증,1.0,38.0,42760.0,0.0,0.0
2025-01-17 19:00:00,9,HIGH,고래 거래 급증 (z=2.07); 트위터 인플루언서 활동 급증 (z=2.15); ⚠️ 트위터+고래 동시 급증,4.0,11.0,6932.0,-0.15163333333333331,0.0
2024-12-23 14:00:00,9,HIGH,고래 거래 급증 (z=2.35); 트위터 인플루언서 활동 급증 (z=4.69); ⚠️ 트위터+고래 동시 급증,0.0,15.0,2628.0,0.0,0.0
2024-12-08 13:00:00,9,HIGH,고래 거래 급증 (z=3.11); 트위터 인플루언서 활동 급증 (z=4.06); ⚠️ 트위터+고래 동시 급증,0.0,18.0,3778.0,0.0,0.0
2025-11-03 13:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.50); 트위터 인플루언서 활동 급증 (z=2.90),6.0,134.0,31237.0,-0.14293888888888887,-0.04615384615384615
2025-10-27 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.23); 트위터 인플루언서 활동 급증 (z=2.41),9.0,68.0,36650.0,0.37485416666666665,0.07999999999999999
2025-10-23 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.00); 트위터 인플루언서 활동 급증 (z=4.61),8.0,36.0,106473.0,0.1205611111111111,0.1
2025-10-20 08:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.49); 트위터 인플루언서 활동 급증 (z=2.28),6.0,15.0,18787.0,0.02065,-0.06666666666666667
2025-10-09 15:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.88); 트위터 인플루언서 활동 급증 (z=2.97),8.0,16.0,15147.0,0.25985833333333336,0.3714285714285714
2025-10-07 11:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=3.90); 트위터 인플루언서 활동 급증 (z=3.79),16.0,17.0,22241.0,0.17247070707070702,0.06666666666666667
2025-09-27 03:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=3.56); 트위터 인플루언서 활동 급증 (z=2.87),10.0,18.0,3370.0,-0.15834,0.0
2025-09-05 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.77); 트위터 인플루언서 활동 급증 (z=4.67),6.0,15.0,14856.0,-0.09289166666666664,0.0
2025-09-01 07:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=4.15); 트위터 인플루언서 활동 급증 (z=3.64),11.0,8.0,9863.0,0.04066875,0.6
2025-08-19 15:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.25); 트위터 인플루언서 활동 급증 (z=4.33),8.0,13.0,19986.0,0.06257083333333335,0.0
2025-08-17 11:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.11); 트위터 인플루언서 활동 급증 (z=3.61),5.0,26.0,1336.0,0.205725,0.1
2025-08-14 13:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.15); 트위터 인플루언서 활동 급증 (z=3.46),9.0,11.0,10684.0,0.022607500000000003,-0.03333333333333333
2025-08-04 13:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.40); 트위터 인플루언서 활동 급증 (z=4.06),8.0,9.0,9339.0,0.44282333333333335,0.06666666666666667
2025-07-28 12:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.26); 트위터 인플루언서 활동 급증 (z=4.25),5.0,10.0,3728.0,-0.2876125,0.05
2025-07-17 11:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=3.25); 트위터 인플루언서 활동 급증 (z=3.87),9.0,12.0,1617.0,0.11252444444444444,0.0
2025-05-26 08:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.11); 트위터 인플루언서 활동 급증 (z=4.68),4.0,7.0,3587.0,0.1391,0.6
2025-05-22 15:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.24); 트위터 인플루언서 활동 급증 (z=2.31),6.0,11.0,7372.0,0.1903,0.0
