timestamp,telegram_message_count,telegram_avg_views,telegram_total_forwards,telegram_total_reactions,telegram_avg_sentiment,telegram_avg_positive,telegram_avg_negative,telegram_avg_neutral,telegram_avg_msg_length,whale_tx_count,whale_volume_sum,whale_volume_mean,whale_volume_max,whale_volume_std,whale_main_coin,twitter_post_count,twitter_likes,twitter_shares,twitter_comments,twitter_engagement,twitter_sentiment,twitter_coin_mentions,telegram_message_count_zscore,whale_tx_count_zscore,twitter_engagement_zscore,triple_spike,telegram_whale_spike,twitter_whale_spike
2025-01-01 17:00:00,4.0,10812.833333333334,68.0,183.0,0.2230833333333333,0.1685,0.0,0.8314999999999999,96.16666666666667,9.0,3457.103479121716,384.1226087913018,2499.73,812.0415310384053,LINK,1.0,7390.0,1116.0,233.0,11204.0,0.2,0.0,2.404796452105223,2.021268491570867,3.465899499610851,True,True,True
2025-01-10 17:00:00,5.0,12177.0,171.0,271.0,-0.2267888888888889,0.03166666666666667,0.10966666666666668,0.8586666666666667,144.44444444444443,10.0,11001.033614757182,1100.1033614757182,10226.282,3212.709080967213,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.070402044350406,3.0313464344099765,0.0,False,True,False
2025-01-11 14:00:00,12.0,9927.5,55.0,152.0,-0.022054545454545438,0.107,0.08036363636363636,0.812590909090909,184.86363636363637,38.0,6645.277365733275,174.87572015087565,6481.0,1050.6370456698974,LINK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7449152517583135,2.884198362150809,0.0,False,True,False
2025-02-20 17:00:00,6.0,3018.5,16.0,53.0,-0.030383333333333352,0.07599999999999994,0.1343333333333333,0.7895000000000001,79.83333333333334,10.0,271.70299790527946,27.170299790527945,106.8125,42.284136945237975,ETH,1.0,3.0,0.0,2.0,7.0,0.6,0.0,2.0865536125867767,2.0578246647602927,-0.2040151113365311,False,True,False
2025-02-24 18:00:00,7.0,11387.0,93.0,265.0,-0.04415000000000002,0.11266666666666665,0.08883333333333329,0.7985,131.33333333333331,8.0,88.49936646304745,11.062420807880931,45.32605178,17.614507897188286,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2920466159742197,2.3483442160846772,0.0,False,True,False
2025-03-02 15:00:00,4.0,2429.6666666666665,11.0,53.0,0.2131333333333333,0.09616666666666666,0.030833333333333334,0.8729999999999999,79.16666666666667,20.0,555.6554713094515,27.782773565472574,244.67722,70.27290595716703,ETH,1.0,130.0,40.0,20.0,290.0,0.0,0.0,2.549894657128023,2.4413364831555113,-0.13633022806411715,False,True,False
2025-03-02 16:00:00,12.0,16303.5,499.0,922.0,0.09605185185185183,0.11514814814814812,0.037037037037037035,0.8478148148148148,102.05555555555554,22.0,2292.52219847874,104.20555447630636,1921.7782,408.2927231722758,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.184646239904138,2.3372665149505476,-0.2523202944283449,False,True,False
2025-03-02 18:00:00,16.0,11687.5,244.0,311.0,-0.26394166666666663,0.07824999999999997,0.08450757575757573,0.8372424242424242,138.8030303030303,34.0,16302.588387694737,479.48789375572755,13299.999999999998,2285.174770437329,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7018583995042036,3.009617201345328,-0.20974962201983585,False,True,False
2025-03-12 13:00:00,7.0,9917.5,191.0,436.0,0.018406250000000027,0.0419375,0.0404375,0.917625,195.9375,9.0,7284.822374255598,809.4247082506221,5355.0,1804.1638576775983,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5327108821241375,2.024935898473457,-0.3313188504478718,False,True,False
2025-04-02 16:00:00,8.0,11172.458333333332,341.0,456.0,0.16334583333333336,0.10129166666666664,0.04025,0.8584583333333333,78.29166666666666,17.0,7999.899214926989,470.5823067604111,5464.656984,1362.4427807344728,ETH,1.0,4.0,1.0,1.0,9.0,0.0,0.0,2.304783863445138,2.047382638089853,0.3678825625799289,False,True,False
2025-04-07 07:00:00,9.0,2318.5555555555557,85.0,92.0,-0.1298133333333333,0.016666666666666666,0.05173333333333333,0.9316,77.68888888888888,29.0,2753.2642352753815,94.94014604397867,938.6967149168822,180.91161484593854,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.128028130313948,2.2186153649061606,-0.20412414523194838,False,True,False
2025-04-30 17:00:00,5.0,9503.5,135.0,200.0,0.4423875,0.101125,0.011375,0.8875,176.875,12.0,5645.680184296592,470.4733486913827,4880.67335,1399.2295097210533,ETH,1.0,20.0,1.0,11.0,45.0,0.2,1.0,2.33441060159607,2.5334089069199734,-0.22444469341259227,False,True,False
2025-05-19 05:00:00,25.0,8429.0,51.0,85.0,0.06131249999999995,0.0712708333333333,0.023,0.9057291666666667,119.375,71.0,13938.644109953344,196.31893112610345,4767.0,640.6894408686039,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57043783913162,4.644422767711944,-0.20412414523192474,False,True,False
2025-06-13 12:00:00,6.0,11809.583333333334,303.0,293.0,0.107925,0.04025,0.0,0.95975,89.25,36.0,5597.153446885828,155.47648463571744,1676.987869,304.6568766274746,ETH,1.0,4.0,0.0,0.0,4.0,0.0,0.0,2.579887965930191,2.4290273604933184,-0.40758476156910195,False,True,False
2025-06-18 09:00:00,5.0,10523.75,241.0,145.0,-0.033487500000000045,0.060125,0.057625,0.88225,149.75,27.0,7160.245614930933,265.194282034479,6942.0,1334.7139059882236,ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2270177932232356,4.081371143517767,-0.2630459019041186,False,True,False
