timestamp,channel,message_id,views,forwards,reactions,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,message_length
2025-11-27 08:03:57+00:00,@cointelegraph,65786,12074,42,85,0.7034,0.189,0.0,0.811,150
2025-11-27 07:02:38+00:00,@cointelegraph,65785,12607,45,0,0.0,0.0,0.0,1.0,0
2025-11-27 07:02:37+00:00,@cointelegraph,65784,12687,44,0,0.0,0.0,0.0,1.0,0
2025-11-27 07:02:36+00:00,@cointelegraph,65783,11296,45,60,0.0,0.0,0.0,1.0,219
2025-11-27 06:33:03+00:00,@cointelegraph,65782,17801,95,0,0.0,0.0,0.0,1.0,0
2025-11-27 06:33:02+00:00,@cointelegraph,65781,18215,96,73,0.2732,0.068,0.0,0.932,192
2025-11-27 05:15:10+00:00,@cointelegraph,65780,10163,38,0,0.0,0.0,0.0,1.0,0
2025-11-27 05:15:09+00:00,@cointelegraph,65779,10700,41,95,0.0,0.0,0.0,1.0,192
2025-11-27 04:55:51+00:00,@cointelegraph,65778,9595,35,0,0.0,0.0,0.0,1.0,0
2025-11-27 04:55:51+00:00,@cointelegraph,65777,10141,36,63,0.7906,0.237,0.0,0.763,208
2025-11-27 04:11:25+00:00,@cointelegraph,65776,9491,48,42,0.2342,0.107,0.062,0.831,232
2025-11-27 03:01:34+00:00,@cointelegraph,65775,9458,34,22,0.6793,0.07,0.051,0.879,1643
2025-11-27 02:27:14+00:00,@cointelegraph,65774,8974,69,0,0.0,0.0,0.0,1.0,0
2025-11-27 02:27:14+00:00,@cointelegraph,65773,9369,70,82,0.1613,0.119,0.094,0.786,123
2025-11-27 01:31:56+00:00,@cointelegraph,65772,10233,57,0,0.0,0.0,0.0,1.0,0
2025-11-27 01:31:56+00:00,@cointelegraph,65771,10693,58,0,0.0,0.0,0.0,1.0,0
2025-11-27 01:31:55+00:00,@cointelegraph,65770,10668,60,85,0.4019,0.083,0.0,0.917,195
2025-11-27 00:34:45+00:00,@cointelegraph,65769,11216,38,0,0.0,0.0,0.0,1.0,0
2025-11-27 00:34:43+00:00,@cointelegraph,65768,11466,41,46,-0.34,0.0,0.076,0.924,172
2025-11-26 18:21:44+00:00,@cointelegraph,65766,29355,175,132,0.4466,0.113,0.0,0.887,121
