timestamp,title,content,link,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral
2025-12-15 19:18:00,"다들 롱이 없나…서울채권시장, 가파르게 강해진 속사정",약세를 지속하던 서울 채권시장이 15일 가파른 강세를 보여 그 배경에 관심이 쏠린다.통상 연말 채권시장 거래량이 많지 않은 상황에서 손절성 매수세가 몰리면서 강세가 가팔라졌다는 평가가 나왔다.채권시장에 따르면 10년 국채선물은 이날 전일 대비 '원빅'에 근접하는 94틱 급등했다.오후 3시경 70틱 수준이,https://news.einfomax.co.kr/news/articleView.html?idxno=4388978,0.0,0.0,0.0,1.0
2025-12-15 19:10:00,"햅톤, 공간정보 기반 블록체인 프로젝트 ‘티나’ 첫 공개","햅톤, 공간정보 기반 블록체인 프로젝트 ‘티나’ 첫 공개",https://zdnet.co.kr/view/?no=20251215185403,0.0,0.0,0.0,1.0
2025-12-15 19:05:00,"젠신, 탈중앙화 AI 청사진 공개… “신호·확장·평가 3박자 갖춘 오픈 프로토콜”","탈중앙화 인공지능(AI) 컴퓨팅 프로토콜 젠신(Gensyn)이 가속화되는 AI 개발의 중앙화 문제를 지적하며, 전 지구적 규모의 개방형 머신러닝 프로토콜 비전을 제시했다. 젠신은 14일(현지시각) X(옛 트위터)를 통해 '신호(Signal), 확장(Scale),",https://www.blockmedia.co.kr/archives/1019948,0.0,0.0,0.0,1.0
2025-12-15 19:00:00,"비트코인, 공포 지수 '16'...일본 금리 인상 쇼크에 무너지나?","미국 연방준비제도(Fed, 연준)의 금리 인하에도 매도 압력에 시달리던 암호화폐 시장이 견조한 거래량을 바탕으로 반등을 모색하는 가운데, 이번 주 발표될 미국의 주요 경제 지표와 일본의 금리 결정이 향후 장세를 가를 분수령이 될 전망이다.   12월 15일(현지시간) 암호화폐 전문 매체 코인게이프에 따르",https://m.coinreaders.com/204305,0.0,0.0,0.0,1.0
2025-12-15 18:54:00,IRS 금리 급락…국채선물·채권 현물도 강세 뒤따라,금리스와프(IRS) 금리가 급락했다.15일 서울 채권시장에 따르면 1년 IRS 금리는 오후 4시 46분 기준 전 거래일보다 5.25bp 급락한 2.7700%를 나타냈다.2년 및 3년 구간은 각각 9.50bp와 10.00bp 내렸다.5년은 10.00bp 하락한 3.1650%를 기록했다. 10년은 10.25,https://news.einfomax.co.kr/news/articleView.html?idxno=4388976,0.0,0.0,0.0,1.0
2025-12-15 18:52:00,"리플(XRP), ETF 자금 유입 속 분기점 도달하나?…시세 1.90달러 사수 여부 주목",[CBC뉴스] 리플(엑스알피 XRP) 가격이 시장의 이목을 집중시키고 있다. 구조적 지표와 자금 흐름 지표가 동시에 맞물리면서 XRP 가격 흐름이 중요한 변곡점에 들어섰다고 해외 코인매체 코인게이프는 전했다. 코인게이프에 따르면 최근 XRP의 가격 움직임은 전반적인 시장 약세와 점점 괴리되는 모습을 보이,https://www.cbci.co.kr/news/articleView.html?idxno=545251,0.0,0.0,0.0,1.0
2025-12-15 18:50:00,"비트코인, 고래들 던지기에도 '조용'...과거 33% 폭등 불지핀 지표 등장","고래 매도에도 비트코인(Bitcoin, BTC)이 무너지지 않으면서 시장 내부에서는 매도 압력이 사실상 소진 국면에 들어섰다는 신호가 동시에 포착되고 있다.   12월 15일(현지시간) 암호화폐 전문 매체 비인크립토에 따르면, 비트코인은 최근 일주일간 약 2% 하락하며 8만 9,000달러 부근에서 제한적",https://m.coinreaders.com/204303,0.0,0.0,0.0,1.0
2025-12-15 18:45:00,[채권-마감] 국고3년 9.3bp 급락한 3.00%…얇은 장세 속 숏커버,국고채 금리가 15일 급락했다.연말이어서 거래량이 많지 않은 가운데 일부 손절성 매수세가 유입된 데 따른 영향이다.서울 채권시장에 따르면 국고채 3년물 최종호가 수익률은 전장 대비 9.3bp 급락한 3.00%였다.국고채 10년물 금리는 8.4bp 하락한 3.325%로 마감했다.3년 국채선물은 31틱 오른,https://news.einfomax.co.kr/news/articleView.html?idxno=4388975,0.0,0.0,0.0,1.0
2025-12-15 18:45:00,"카르다노, 0.4달러 버티기...고래 매수에 롱 포지션 급증","카르다노(Cardano, ADA)가 0.40달러 지지선을 굳건히 지켜내는 가운데 대형 고래 투자자들의 매수세와 선물 시장의 강세 신호가 맞물리며 조만간 본격적인 가격 반등이 시작될 것이라는 기대감이 고조되고 있다.   12월 15일(현지시간) 암호화폐 전문 매체 FX스트리트에 따르면, 카르다노는 지난주",https://m.coinreaders.com/204302,0.0,0.0,0.0,1.0
2025-12-15 18:37:00,FX스와프 하락…박스권 장세,"외환(FX) 스와프포인트가 하락했다.15일 외화자금시장에서 1년 만기 FX스와프포인트는 전일대비 0.10원 하락한 -19.00원에 거래됐다.6개월물은 보합인 -11.50원, 3개월물은 0.05원 오른 -6.15원이었다.1개월물은 시초가(-2.30원)보다 0.05원 내린 -2.35원에 거래됐다.초단기물인",https://news.einfomax.co.kr/news/articleView.html?idxno=4388974,0.0,0.0,0.0,1.0
2025-12-15 18:37:00,"원화 스테이블코인 법안 가속... 與 ""내년 3월 국회 통과 목표""[속도내는 스테이블코인]","더불어민주당은 '원화 스테이블코인' 최종안 통과 시점을 내년 3월로 설정하고 본격 입법 드라이브에 나선다.15일 국회 정무위원회 소속 한 민주당 의원에 따르면 원화 스테이블코인 최종안은 내년 3월 중 본회의 통과를 목표로 물밑 논의가 이어지고 있다.그는 ""쟁점이..",https://www.fnnews.com/news/202512151836529595,0.0,0.0,0.0,1.0
2025-12-15 18:30:00,"앱스트랙트, 누적 트랜잭션 1억5000만건 상회… “자체 스마트 지갑서 61% 트랜잭션 발생”","앱스트랙트(Abstract)가 누적 트랜잭션 1억5000만건을 돌파하며 가파른 성장세를 증명했다. 특히 전체 거래의 절반 이상이 스마트 컨트랙트 지갑을 통해 이뤄진 것으로 나타났다. 앱스트랙트는 14일(현지시각) X(옛 트위터)를 통해 ""현재까지 누적 트랜잭션이",https://www.blockmedia.co.kr/archives/1019857,0.0,0.0,0.0,1.0
2025-12-15 18:29:00,"송금 수수료 줄고 결제시간 단축… ""B2B 결제 효율화 모델""[속도내는 스테이블코인]",스테이블코인은 글로벌 금융시장에서 점차 실사용 단계로 접어들고 있다.15일 한국무역협회 국제무역통상연구원이 발간한 '스테이블코인의 무역거래 활용과 한국 무역에 미칠 영향' 보고서에 따르면 스테이블코인 결제를 활용할 경우 국제 송금 수수료는 평균 6%에서 1%..,https://www.fnnews.com/news/202512151829080423,0.0,0.0,0.0,1.0
