timestamp,news_count,news_sentiment_avg,news_positive_avg,news_negative_avg,news_neutral_avg,news_title_length,news_content_length,news_bitcoin_mentions,news_ethereum_mentions,news_altcoin_mentions,news_regulation_mentions,news_whale_mentions,news_bullish_count,news_bearish_count,news_bullish_ratio,news_bearish_ratio
2025-07-22 22:00:00,3,0.0,0.0,0.0,1.0,42.0,157.33333333333334,1,1,1,0,1,1,0,0.3333333333222222,0.0
2025-07-22 23:00:00,6,0.0,0.0,0.0,1.0,43.0,164.66666666666666,3,1,0,0,1,1,0,0.16666666666388888,0.0
2025-07-23 00:00:00,6,0.0,0.0,0.0,1.0,39.666666666666664,168.83333333333334,1,0,2,0,0,1,1,0.16666666666388888,0.16666666666388888
2025-07-23 01:00:00,2,0.0,0.0,0.0,1.0,36.5,170.0,0,0,0,0,0,1,0,0.499999999975,0.0
2025-07-23 02:00:00,2,0.0,0.0,0.0,1.0,40.0,157.0,0,0,0,0,0,0,0,0.0,0.0
2025-07-23 04:00:00,5,0.10638,0.0128,0.0,0.9872,38.0,166.2,0,2,1,2,0,0,0,0.0,0.0
2025-07-23 05:00:00,5,0.0,0.0,0.0,1.0,30.8,166.0,0,1,2,0,0,0,0,0.0,0.0
2025-07-23 06:00:00,10,0.0,0.0,0.0,1.0,34.0,161.7,1,1,2,4,0,2,1,0.199999999998,0.099999999999
2025-07-23 07:00:00,7,0.0,0.0,0.0,1.0,36.857142857142854,164.14285714285714,2,2,0,0,0,3,0,0.4285714285653061,0.0
2025-07-23 08:00:00,12,0.0,0.0,0.0,1.0,42.333333333333336,154.33333333333334,3,1,1,2,0,1,1,0.08333333333263888,0.08333333333263888
2025-07-23 09:00:00,12,0.0,0.0,0.0,1.0,36.25,132.83333333333334,0,0,2,2,0,1,1,0.08333333333263888,0.08333333333263888
2025-07-23 10:00:00,13,-0.03435384615384615,0.0,0.004461538461538462,0.9955384615384616,33.15384615384615,159.92307692307693,4,1,0,2,0,0,0,0.0,0.0
2025-07-23 11:00:00,8,0.0,0.0,0.0,1.0,34.0,158.125,1,2,0,2,0,1,0,0.1249999999984375,0.0
2025-07-23 12:00:00,6,0.0,0.0,0.0,1.0,32.5,163.66666666666666,1,0,0,1,0,0,0,0.0,0.0
2025-07-23 13:00:00,12,0.030666666666666665,0.0045,0.0,0.9954999999999999,37.916666666666664,153.25,2,1,2,0,0,1,0,0.08333333333263888,0.0
2025-07-23 14:00:00,18,0.0,0.0,0.0,1.0,36.833333333333336,157.83333333333334,2,3,1,2,1,3,0,0.16666666666574076,0.0
2025-07-23 15:00:00,13,0.0,0.0,0.0,1.0,36.38461538461539,169.92307692307693,3,0,1,3,0,1,0,0.0769230769224852,0.0
2025-07-23 16:00:00,17,0.0,0.0,0.0,1.0,37.64705882352941,155.0,3,0,1,1,0,1,0,0.05882352941141869,0.0
2025-07-23 17:00:00,10,0.0,0.0,0.0,1.0,34.8,151.6,1,0,2,2,1,2,1,0.199999999998,0.099999999999
2025-07-23 18:00:00,10,0.052669999999999995,0.0078,0.0,0.9922000000000001,41.1,165.8,2,1,1,2,0,2,1,0.199999999998,0.099999999999
2025-07-23 19:00:00,1,0.0,0.0,0.0,1.0,43.0,169.0,1,0,0,0,0,1,0,0.9999999999,0.0
2025-07-23 20:00:00,1,0.0,0.0,0.0,1.0,34.0,170.0,0,0,1,0,0,1,0,0.9999999999,0.0
2025-07-23 21:00:00,3,0.0,0.0,0.0,1.0,37.333333333333336,169.66666666666666,0,0,0,0,0,1,0,0.3333333333222222,0.0
2025-07-23 22:00:00,4,0.131675,0.0215,0.0,0.9785,34.75,170.0,2,1,0,0,0,1,0,0.24999999999375,0.0
2025-07-23 23:00:00,4,0.0,0.0,0.0,1.0,39.75,170.0,1,0,2,0,1,1,0,0.24999999999375,0.0
